# Each key-value pair is on a new line (\n-only, LF separator)
# Key and value are separated by tab (\t)
# Lines starting with # are comments and are ignored completely
# Inline comments are supported after the second tab

# === core ===
Loading...	Загрузка...
Interaction plot options:	Параметры графика взаимодействия:
Show error bars	Показать полосы ошибок
Forest plot	Лесовидная диаграмма
Use this converter if your data has groups or conditions in separate columns	Используйте этот конвертер, если группы или замеры представлены в отдельных столбцах
Cohen's d	d Коэна
Hedges' g	g Хеджеса
Glass' Δ	Δ Гласса
Welch's d	d Уэлча
Point-biserial r	Точечно-бисериальный r
Eta-squared	Эта-квадрат
Omega-squared	Омега-квадрат
Rank-biserial r	Рангово-бисериальный r
Cliff's delta	Дельта Клиффа
Common language ES	Общеязыковой РВ
Cohen's d_z	d_z Коэна
Hedges' g_z	g_z Хеджеса
Matched-pairs rank-biserial r	Рангово-бисериальный r для связанных пар
Wilcoxon r	r Уилкоксона
Epsilon-squared	Эпсилон-квадрат
Eta-squared (H)	Эта-квадрат (H)
Partial eta-squared	Частичная Эта-квадрат
Cramér's V	V Крамера
Phi coefficient	Коэффициент фи
Cohen's w	w Коэна
Wilks' lambda	Лямбда Уилка
Pillai's trace	След Пиллая
Hotelling's trace	След Хотеллинга
Roy's largest root	Наибольший корень Роя
Testing covariance matrices	Проверка ковариационных матриц
Checking multicollinearity	Проверка мультиколлинеарности
Testing multivariate normality	Проверка многомерной нормальности
Testing covariate assumptions	Проверка допущений о ковариатах
Checking expected frequencies	Проверка ожидаемых частот
Testing within-subjects normality	Проверка внутригрупповой нормальности
Testing sphericity	Проверка сферичности
Building recommendations	Формирование рекомендаций
Testing normality {name}	Проверка нормальности {name}
Testing variance homogeneity {name}	Проверка однородности дисперсий {name}
Subject ID required for Mauchly's sphericity test	ID субъекта обязателен для критерия сферичности Мочли
Sphericity test requires 3 or more conditions (current: {count})	Критерий сферичности требует 3 или более условий (текущее: {count})
Some groups have too few observations (need > {min} per group)	В некоторых группах слишком мало наблюдений (необходимо > {min} на группу)
Need at least 2 groups	Необходимо не менее 2 групп
Singular covariance matrix in group {group}	Сингулярная ковариационная матрица в группе {group}
Singular pooled covariance matrix	Сингулярная объединённая ковариационная матрица
Non-finite result	Не-конечный результат
Normality assumption violated	Допущение о нормальности нарушено
Multivariate normality violated	Многомерная нормальность нарушена
Homogeneity of variance violated	Однородность дисперсий нарушена
Sphericity violated — consider Greenhouse-Geisser correction	Сферичность нарушена — рекомендуется коррекция Гринхауса-Гейссера
Covariance matrices not homogeneous	Ковариационные матрицы неоднородны
Dependent variables are multicollinear (|r| > 0.90)	Зависимые переменные мультиколлинеарны (|r| > 0,90)
Homogeneity of regression slopes violated	Однородность наклонов регрессии нарушена
Covariate confounded with treatment	Ковариата связана с воздействием
Linearity assumption violated	Допущение о линейности нарушено
Expected frequencies too low (cells < 5)	Ожидаемые частоты слишком малы (ячейки < 5)
Failed to run formula-based test: 	Не удалось рассчитать критерий на основе формулы: 
Failed to run table-based test: 	Не удалось рассчитать табличный критерий: 
Failed to run paired table test: 	Не удалось рассчитать парный табличный критерий: 
Failed to run paired test: 	Не удалось рассчитать парный критерий: 
Mixed ANOVA requires a between-subjects grouping variable.	Смешанный дисперсионный анализ требует межгрупповой группирующей переменной.
Mixed ANOVA requires a within-subjects condition variable.	Смешанный дисперсионный анализ требует внутригрупповой переменной замера.
Mixed ANOVA requires a subject ID variable to identify paired observations.	Смешанный дисперсионный анализ требует переменной ID субъекта для идентификации связанных наблюдений.
Mixed ANOVA requires at least 2 groups. Found {nGroups} group(s).	Смешанный дисперсионный анализ требует не менее 2 групп. Обнаружено: {nGroups}.
Mixed ANOVA requires at least 2 conditions. Found {nConditions} condition(s).	Смешанный дисперсионный анализ требует не менее 2 замеров. Обнаружено: {nConditions}.
Failed to run Mixed ANOVA: 	Не удалось выполнить смешанный дисперсионный анализ: 
Failed to run Factorial ANOVA: 	Не удалось выполнить многофакторный дисперсионный анализ: 
Failed to run ANCOVA: 	Не удалось выполнить ANCOVA: 
MANCOVA requires error degrees of freedom (N - groups - covariates) ≥ number of dependent variables. You have {nObs} observations, {nGroups} groups, {nCovariates} covariates, and {nDVs} dependent variables. Error df = {errorDf} < {nDVs} DVs. Consider reducing the number of dependent variables or covariates, or increasing sample size.	MANCOVA требует, чтобы число степеней свободы ошибки (N − группы − ковариаты) ≥ числа зависимых переменных. У вас {nObs} наблюдений, {nGroups} групп, {nCovariates} ковариат и {nDVs} зависимых переменных. Ст. св. ошибки = {errorDf} < {nDVs} зав. перем. Рассмотрите сокращение числа зависимых переменных или ковариат, или увеличение объёма выборки.
The dependent variable matrix is rank-deficient (rank {rank} < {nDVs} variables). This may be due to multicollinearity among dependent variables or insufficient unique observations. Consider removing redundant or highly correlated variables.	Матрица зависимых переменных имеет неполный ранг (ранг {rank} < {nDVs} переменных). Это может быть связано с мультиколлинеарностью зависимых переменных или недостаточным количеством уникальных наблюдений. Рассмотрите удаление избыточных или сильно коррелирующих переменных.
Failed to run MANCOVA: 	Не удалось выполнить MANCOVA: 
MANOVA requires error degrees of freedom (N - groups) ≥ number of dependent variables. You have {nObs} observations, {nGroups} groups, and {nDVs} dependent variables. Error df = {errorDf} < {nDVs} DVs. Consider reducing the number of dependent variables or increasing sample size.	MANOVA требует, чтобы число степеней свободы ошибки (N − группы) ≥ числа зависимых переменных. У вас {nObs} наблюдений, {nGroups} групп и {nDVs} зависимых переменных. Ст. св. ошибки = {errorDf} < {nDVs} зав. перем. Рассмотрите сокращение числа зависимых переменных или увеличение объёма выборки.
Failed to run MANOVA: 	Не удалось выполнить MANOVA: 
Repeated measures MANOVA requires a subject ID variable to identify paired observations.	MANOVA с повторными измерениями требует переменной ID субъекта для идентификации связанных наблюдений.
Repeated measures MANOVA requires at least 2 conditions. Found {nConditions} condition(s).	MANOVA с повторными измерениями требует не менее 2 замеров. Обнаружено: {nConditions}.
Repeated measures MANOVA requires more subjects than dependent variables. You have {nSubjects} subjects and {nDVs} dependent variables. Consider reducing the number of dependent variables or increasing sample size.	MANOVA с повторными измерениями требует больше испытуемых, чем зависимых переменных. У вас {nSubjects} испытуемых и {nDVs} зависимых переменных. Рассмотрите сокращение числа зависимых переменных или увеличение объёма выборки.
The response matrix is rank-deficient (rank {rank} < {nCols} columns). This may be due to multicollinearity, missing data patterns, or insufficient subjects. Consider removing redundant variables or conditions.	Матрица откликов имеет неполный ранг (ранг {rank} < {nCols} столбцов). Это может быть связано с мультиколлинеарностью, паттернами пропущенных данных или недостаточным количеством испытуемых. Рассмотрите удаление избыточных переменных или условий.
Failed to run Repeated Measures MANOVA: 	Не удалось выполнить MANOVA с повторными измерениями: 
Mixed MANOVA requires a between-subjects grouping variable.	Смешанный MANOVA требует межгрупповой группирующей переменной.
Mixed MANOVA requires a within-subjects condition variable.	Смешанный MANOVA требует внутригрупповой переменной замера.
Mixed MANOVA requires a subject ID variable to identify paired observations.	Смешанный MANOVA требует переменной ID субъекта для идентификации связанных наблюдений.
Mixed MANOVA requires at least 2 groups. Found {nGroups} group(s).	Смешанный MANOVA требует не менее 2 групп. Обнаружено: {nGroups}.
Mixed MANOVA requires at least 2 conditions. Found {nConditions} condition(s).	Смешанный MANOVA требует не менее 2 замеров. Обнаружено: {nConditions}.
Mixed MANOVA requires more subjects than dependent variables within each group. You have {nSubjects} subjects, {nGroups} groups, and {nDVs} dependent variables. Error df = {errorDf} < {nDVs} DVs. Consider reducing the number of dependent variables or increasing sample size.	Смешанная MANOVA требует больше испытуемых, чем зависимых переменных в каждой группе. У вас {nSubjects} испытуемых, {nGroups} групп и {nDVs} зависимых переменных. Ст. св. ошибки = {errorDf} < {nDVs} зав. перем. Рассмотрите сокращение числа зависимых переменных или увеличение объёма выборки.
Failed to run Mixed MANOVA: 	Не удалось выполнить смешанный MANOVA: 
Analyzing {name}	Анализ {name}
Running mixed ANOVA for {name}	Выполнение смешанного дисперсионного анализа для {name}
Setting up factorial ANOVA	Настройка факторного дисперсионного анализа
Running ANOVA for {name}	Выполнение дисперсионного анализа для {name}
Running ANCOVA for {name}	Выполнение ANCOVA для {name}
Running multivariate tests	Выполнение многомерных критериев
Computing follow-up tests	Вычисление последующих критериев
Computing adjusted means	Вычисление скорректированных средних
Computing group statistics	Вычисление статистик по группам
Validating data	Проверка данных
Computing condition statistics	Вычисление статистик по замерам
Computing descriptive statistics	Вычисление описательных статистик
Fisher's exact test requires a 2x2 contingency table. Consider using Chi-square test instead.	Точный критерий Фишера требует таблицу сопряжённости 2x2. Рассмотрите возможность использования критерия хи-квадрат.
Expected reshaped columns not found. Available columns:	Ожидаемые столбцы после преобразования не найдены. Доступные столбцы:
Cochran's Q test requires 3 or more conditions, found 	Критерий Q Кохрана требует 3 или более замеров, найдено 
McNemar's test requires binary data (2×2 table). Use Stuart-Maxwell test for polytomous data (3+ categories).	Критерий Макнемара требует бинарных данных (таблица 2×2). Используйте критерий Стюарта-Максвелла для политомных данных (3+ категории).
Stuart-Maxwell test requires a square contingency table (same categories at both time points)	Критерий Стюарта-Максвелла требует квадратной таблицы сопряжённости (одинаковые категории в обеих временных точках)
Stuart-Maxwell test requires at least 2×2 table	Критерий Стюарта-Максвелла требует таблицы не менее 2×2
Cochran's Q test requires at least 2 conditions	Критерий Q Кохрана требует не менее 2 замеров
Cochran's Q test requires binary data (exactly 2 unique values), found 	Критерий Q Кохрана требует бинарных данных (ровно 2 уникальных значения), найдено 
Cochran's Q test cannot be computed: all subjects have the same response pattern	Критерий Q Кохрана невозможно вычислить: у всех субъектов одинаковая структура ответов
Export 	Экспорт 
Effect size	Размер эффекта
Tukey HSD	HSD Тьюки
Pairwise t-tests using pooled ANOVA error (p-adjusted)	Попарные t-критерии с объединённой ошибкой ANOVA (скорректированное p)
Dunn's test	Критерий Данна
Pairwise paired t-tests (p-adjusted)	Попарные t-тесты для зависимых выборок (скорр. p)
Pairwise Wilcoxon signed-rank tests (p-adjusted)	Попарные тесты Вилкоксона (скорр. p)
Independent samples t-test	t-критерий для независимых выборок
Welch's t-test (unequal variances)	t-критерий Уэлча (неравные дисперсии)
Mann-Whitney U test	Критерий Манна–Уитни
One-way ANOVA	Однофакторный дисперсионный анализ
Kruskal-Wallis test	Критерий Краскела–Уоллиса
Paired samples t-test	t-критерий для парных выборок
Wilcoxon signed-rank test	Критерий знаковых рангов Вилкоксона
Repeated measures ANOVA	Дисперсионный анализ с повторными измерениями
Friedman test	Критерий Фридмана
Factorial ANOVA	Многофакторный дисперсионный анализ
ANCOVA (Analysis of Covariance)	ANCOVA (Анализ ковариаций)
MANCOVA (Multivariate ANCOVA)	MANCOVA (Многомерный ANCOVA)
Chi-square test of independence	Критерий Хи-квадрат
Fisher's exact test	Точный критерий Фишера
McNemar's test	Критерий МакНемара
Stuart-Maxwell test	Критерий Стюарта–Максвелла
Cochran's Q test	Критерий Q Кокрена
MANOVA	MANOVA
Repeated measures MANOVA	MANOVA с повторными измерениями
Mixed ANOVA	Смешанный дисперсионный анализ
Mixed MANOVA	Смешанный MANOVA
(Pairwise comparisons)	(Попарные сравнения)
Significantly greater (one-tailed)	Значимо больше (односторонний)
Significantly less (one-tailed)	Значимо меньше (односторонний)
No significant directional difference	Нет значимого направленного различия
negligible effect	незначительный эффект
small effect	малый эффект
medium effect	средний эффект
large effect	большой эффект
[lower, upper] = {level}% CI of difference	[нижн., верхн.] = {level}% ДИ разности
{symbol} = test statistic, df = degrees of freedom, p = p-value	{symbol} = значение критерия, df = степени свободы, p = p-значение
{symbol} = effect size	{symbol} = размер эффекта
Legend:	Обозначения:
Failed	Не выполнено
n = {value}	n = {value}
M = {value}	M = {value}
Mdn = {value}	Мед = {value}
Mode = {modes} @ {pct}%	Мода = {modes} @ {pct}%
Mode = {modes}	Мода = {modes}
SD = {value}	SD = {value}
SE = {value}	SE = {value}
{level}% CI [{lower}, {upper}]	{level}% ДИ [{lower}, {upper}]
Q1 = {value}	К1 = {value}
Q3 = {value}	К3 = {value}
IQR = {value}	МКР = {value}
Min = {value}	Мин = {value}
Max = {value}	Макс = {value}
Mean rank = {value}	Средний ранг = {value}
Not significant	Незначимо
P-values adjusted using {method}	P-значения скорректированы методом {method}
Mauchly's test of sphericity	Критерий сферичности Мочли
{method} results	Результаты {method}
{variable} (Between)	{variable} (межгрупповой)
{variable} (Within)	{variable} (внутригрупповой)
Multivariate tests for {variable}	Многомерные критерии для {variable}
Significant	Значимая
Diff	Разн
Diff = mean difference	Разн = разность средних
[lower, upper] = {level}% CI	[нижняя, верхняя] = {level}% ДИ
p = p-value	p = p-значение
Pairwise analysis summary:	Сводка попарного анализа:
{vars} variable(s) analyzed with {comps} total pairwise comparison(s)	{vars} переменных проанализировано, {comps} попарных сравнений
All variables failed analysis.	Все переменные не прошли анализ.
See errors below.	См. ошибки ниже.
Direction confirmed	Направление подтверждено
Unexpected direction	Неожиданное направление
No pairwise comparisons available.	Попарные сравнения недоступны.
Pairwise comparisons:	Попарные сравнения:
Error	Ошибка
Contingency table:	Таблица сопряжённости:
Note: expected frequencies shown in parentheses	Примечание: ожидаемые частоты указаны в скобках
Factorial ANOVA:	Многофакторный дисперсионный анализ:
Significant interaction	Значимое взаимодействие
Significant main effect	Значимый главный эффект
No interaction	Нет взаимодействия
No main effect	Нет главного эффекта
Error:	Ошибка:
ANCOVA:	ANCOVA:
(covariate)	(ковариата)
(factor)	(фактор)
Adjusted means (estimated marginal means)	Скорректированные средние (оценённые краевые средние)
Post-hoc comparisons (adjusted means)	Апостериорные сравнения (скорректированные средние)
Post-hoc analysis failed:	Апостериорный анализ не выполнен:
Mixed ANOVA:	Смешанный дисперсионный анализ:
(within)	(внутригрупповой)
(between)	(межгрупповой)
Sphericity violated; use corrected p-values	Сферичность нарушена; используйте скорректированные p-значения
Sphericity assumption met	Допущение о сферичности выполнено
Post-hoc comparisons	Апостериорные сравнения
Between-subjects comparisons (Group)	Межгрупповые сравнения (группа)
Within-subjects comparisons (Condition)	Внутригрупповые сравнения (замер)
Simple effects: Group comparisons within each Condition	Простые эффекты: сравнения групп в каждом замере
Simple effects: Condition comparisons within each Group	Простые эффекты: сравнения замеров в каждой группе
Adjusted group means (estimated marginal means)	Скорректированные средние по группам (оценённые краевые средние)
Covariates:	Ковариаты:
Dependent variables:	Зависимые переменные:
Between-subjects:	Межгрупповые:
Within-subjects:	Внутригрупповые:
Condition:	Замер:
Grouping:	Группировка:
Multivariate tests	Многомерные критерии
Covariate multivariate tests (Pillai)	Многомерный критерий ковариации (Пиллай)
Univariate follow-up tests (Mixed ANOVAs)	Одномерные последующие критерии (смешанный дисперсионный анализ)
Univariate follow-up tests (One-way ANOVAs)	Одномерные последующие критерии (однофакторный дисперсионный анализ)
MANCOVA results	Результаты MANCOVA
Univariate follow-up tests (ANCOVAs)	Одномерные последующие критерии (ANCOVA)
Post-hoc for:	Апостериорные критерии для:
Method:	Метод:
Pass	Пройдено
Fail	Не пройдено
Skipped	Пропущено
Partial	Частичные
n < 3	n < 3
n > 5000	n > 5000
MV normal	МВ норм.
MV non-normal	МВ ненорм.
Insufficient data	Недостаточно данных
Singular covariance	Сингулярная ковариация
Multivariate normality could not be computed:	Многомерная нормальность не может быть вычислена:
Equal variances	Равные дисперсии
Unequal variances	Неравные дисперсии
Sphericity assumed	Сферичность предполагается
Sphericity violated	Сферичность нарушена
Box's M test could not be computed:	M-критерий Бокса не может быть вычислен:
Homogeneous	Однородные
Non-homogeneous	Неоднородные
Linear	Линейная
Not linear	Нелинейно
Independent	Независимые
Confounded	Конфундированные
Adequate	Достаточно
Low frequencies	Низкие частоты
Overall test results	Общие результаты критерия
Factorial ANOVA results	Результаты факторного дисперсионного анализа
Mixed ANOVA results	Результаты смешанного дисперсионного анализа
ANCOVA results	Результаты ANCOVA
Pairwise comparisons	Попарные сравнения
Batch analysis {current}/{total}: {test} ({iv})	Пакетный анализ {current}/{total}: {test} ({iv})
Pseudo-factorial analysis: {test} ({iv})	Псевдо-многофакторный анализ: {test} ({iv})
Comparison analysis: {test} ({iv})	Сравнительный анализ: {test} ({iv})
Comparison	Сравнение
{group} N	{group} N
{group} Mean	{group} Среднее
{group} Median	{group} Медиана
{group} Mode	{group} Мода
{group} SD	{group} SD
{group} SE	{group} SE
{group} {level}% CI	{group} {level}% ДИ
{group} Q1	{group} К1
{group} Q3	{group} К3
{group} IQR	{group} МКР
{group} Min	{group} Мин
{group} Max	{group} Макс
{group} Mean Rank	{group} Средний ранг
{level}% CI of Difference	{level}% ДИ разности
ES	РЭ
{es} CI	{es} ДИ
{es} SE	{es} SE
Significant difference	Значимое различие
No significant difference	Незначимое различие
Group 1	Группа 1
Group 2	Группа 2
Effect	Эффект
Group	Группа
Raw mean	Исходное среднее
SD	SD
Adjusted mean	Скорректированное среднее
SE	SE
Contrast	Контраст
Difference	Разность
ε (GG)	ε (GG)
p (GG)	p (GG)
Adjusted p-value	Скорректированное p-значение
Main effect of group was not significant (p = {p}). Interpret comparisons with caution.	Главный эффект группы незначим (p = {p}). Интерпретируйте сравнения с осторожностью.
Interaction was significant (p = {p}). Consider simple effects analysis below for more accurate interpretation.	Взаимодействие значимо (p = {p}). Для более точной интерпретации рассмотрите анализ простых эффектов ниже.
Main effect of condition was not significant (p = {p}). Interpret comparisons with caution.	Главный эффект замера незначим (p = {p}). Интерпретируйте сравнения с осторожностью.
Interaction was not significant (p = {p}). Main effect comparisons above may be more appropriate.	Взаимодействие незначимо (p = {p}). Более подходящими могут быть сравнения главных эффектов выше.
Mixed MANOVA results	Результаты смешанного MANOVA
MANOVA results	Результаты MANOVA
Test statistic	Значение критерия
Approx. F	Прибл. F
Num. df	Числ. df
Den. df	Знам. df
Covariate	Ковариата
Pillai	Pillai
Dependent variable	Зависимая переменная
Descriptive statistics by {variable} (between-subjects)	Описательные статистики по {variable} (межгрупповые)
Descriptive statistics by {variable} (within-subjects)	Описательные статистики по {variable} (внутригрупповые)
Descriptive statistics by {var1} × {var2}	Описательные статистики по {var1} × {var2}
Descriptive statistics by group	Описательные статистики по группам
Pairwise t-tests (pooled SD) with {adjustment} adjustment	Попарные t-критерии (объединённое SD), поправка: {adjustment}
Dunn's test with {adjustment} adjustment	Критерий Данна, поправка: {adjustment}
Pairwise paired t-tests with {adjustment} adjustment	Попарные парные t-тесты с поправкой: {adjustment}
Pairwise Wilcoxon signed-rank tests with {adjustment} adjustment	Попарные тесты Вилкоксона с поправкой: {adjustment}
Conover's test with {adjustment} adjustment	Тест Коновера с поправкой: {adjustment}
Nemenyi test	Тест Нeменьи
No	Нет
Normality (Shapiro-Wilk)	Нормальность (Шапиро-Уилк)
{passed} of {total} tests passed	Пройдено {passed} из {total} проверок
No testable groups	Нет проверяемых групп
Multivariate normality (Mardia's test)	Многомерная нормальность (критерий Мардиа)
Skewness or kurtosis violated in one or more groups	Асимметрия или эксцесс нарушены в одной или нескольких группах
Multivariate normality assumed	Многомерная нормальность предполагается
Homogeneity of variance (Levene's test)	Однородность дисперсий (критерий Левена)
{count} of {total} variables show unequal variances	{count} из {total} переменных имеют неравные дисперсии
Equal variances assumed	Равенство дисперсий предполагается
Sphericity (Mauchly's)	Сферичность (критерий Мочли)
{count} of {total} variables violate sphericity	{count} из {total} переменных нарушают сферичность
Homogeneity of covariance matrices (Box's M)	Однородность ковариационных матриц (M Бокса)
Covariance matrices differ across groups (p < 0.001)	Ковариационные матрицы различаются между группами (p < 0,001)
Covariance matrices are homogeneous	Ковариационные матрицы однородны
Multicollinearity	Мультиколлинеарность
{count} pair(s) with |r| > 0.90	{count} пар(ы) с |r| > 0,90
No multicollinearity detected (max |r| = {r})	Мультиколлинеарность не обнаружена (макс. |r| = {r})
Homogeneity of regression slopes	Однородность наклонов регрессии
{count} interaction(s) significant — slopes differ across groups	{count} взаимодействий(е) значимо — наклоны различаются между группами
Regression slopes are homogeneous	Наклоны регрессии однородны
Linearity (Covariate–DV)	Линейность (ковариата–ЗП)
{count} covariate-DV pair(s) show no linear relationship	{count} пар(ы) ковариат–ЗП не показывают линейной связи
Linear relationships confirmed	Линейные связи подтверждены
Covariate independence	Независимость ковариат
{count} covariate(s) differ across groups	{count} ковариат(ы) различаются между группами
Covariates independent of treatment	Ковариаты независимы от воздействия
Expected frequencies	Ожидаемые частоты
{count} variable(s) have cells with expected frequency < 5	{count} переменных имеют ячейки с ожидаемой частотой < 5
All expected frequencies adequate	Все ожидаемые частоты достаточны
Assumption	Допущение
Status	Статус
Notes	Примечания
Summary	Сводка
Recommended tests	Рекомендуемые критерии
Not recommended	Не рекомендуется
Test recommendations	Рекомендации по критериям
Normality tests (Shapiro-Wilk)	Проверка нормальности (Шапиро-Уилк)
Skewness χ²	Асимметрия χ²
Skew. p	Асим. p
Kurtosis Z	Эксцесс Z
Kurt. p	Эксц. p
p-value	p-значение
Sphericity (Mauchly's test)	Сферичность (критерий Мочли)
χ² (approx.)	χ² (прибл.)
Metric	Метрика
Box's M test	Критерий M Бокса
Variable 1	Переменная 1
Variable 2	Переменная 2
Multicollinearity — flagged pairs (|r| > 0.90)	Мультиколлинеарность — отмеченные пары (|r| > 0,90)
DV	ЗП
F (interaction)	F (взаимодействие)
Linearity (covariate–dv relationship)	Линейность (связь ковариата–ЗП)
Covariate independence from treatment	Независимость ковариат от воздействия
Min. expected	Мин. ожидаемая
Cells < 5	Ячейки < 5
Total cells	Всего ячеек
Assumption test results	Результаты проверки допущений
Assumptions	Допущения
Please select at least two variables for analysis.	Пожалуйста, выберите не менее двух переменных для анализа.
No dependent variables available. Please adjust your variable selection.	Нет доступных зависимых переменных. Скорректируйте выбор переменных.
Please select at least one grouping variable for independent samples analysis.	Выберите хотя бы одну группирующую переменную для анализа независимых выборок.
Please select at least one condition variable for dependent samples analysis.	Выберите хотя бы одну переменную условия для анализа зависимых выборок.
Please select a Subject ID variable for dependent samples analysis.	Выберите переменную ID субъекта для анализа зависимых выборок.
Please select at least one grouping variable for mixed design analysis.	Выберите хотя бы одну группирующую переменную для анализа смешанного дизайна.
Please select at least one condition variable for mixed design analysis.	Выберите хотя бы одну переменную условия для анализа смешанного дизайна.
Please select a Subject ID variable for mixed design analysis.	Выберите переменную ID субъекта для анализа смешанного дизайна.
The {test} test requires at least two dependent variables.	Критерий {test} требует не менее двух зависимых переменных.
The {test} test requires at least one covariate variable.	Критерий {test} требует не менее одной переменной-ковариаты.
Please select at least one grouping or condition variable.	Выберите хотя бы одну группирующую или условную переменную.
Checking assumptions...	Проверка допущений...
Assumption tests completed	Проверка допущений завершена
An error occurred while checking assumptions: 	Произошла ошибка при проверке допущений: 
Running comparison analysis...	Выполнение сравнительного анализа...
An error occurred while running the comparison analysis: 	Произошла ошибка при выполнении сравнительного анализа: 
Analysis failed for variable: {variable}	Анализ не выполнен для переменной: {variable}
Adjusting p-values globally...	Глобальная корректировка p-значений...
Failed to apply global p-value adjustment	Не удалось применить глобальную коррекцию p-значений
Batch analysis completed: {count} analyses with global p-value adjustment	Пакетный анализ завершён: {count} анализов с глобальной коррекцией p-значений
Unknown test type: {test}	Неизвестный тип критерия: {test}
Variable "{name}" has {count} unique values - verify it's categorical, not continuous	Переменная «{name}» имеет {count} уникальных значений — убедитесь, что она категориальная, а не непрерывная
Group "{group}" has only {count} observation(s) - results may be unreliable	Группа «{group}» содержит только {count} наблюдений — результаты могут быть ненадёжными
Cannot generate {count} factorial groups (limit: {limit}). Use batch analysis instead, or reduce grouping variables.	Невозможно создать {count} факторных групп (лимит: {limit}). Используйте пакетный анализ или уменьшите число группирующих переменных.
{count} factorial groups will be created - this may take a moment	Будет создано {count} факторных групп — это может занять некоторое время
Group "{group}" has no observations	Группа «{group}» не содержит наблюдений
{count} pairwise comparisons possible - strongly consider p-value adjustment	Возможно {count} попарных сравнений — настоятельно рекомендуется коррекция p-значений
Failed to adjust p-values: 	Не удалось скорректировать p-значения: 
Factorial analysis preview:	Предпросмотр факторного анализа:
{count} combined subgroups will be created and analyzed together	{count} объединённых подгруппы будут созданы и проанализированы совместно
Batch analysis preview:	Предпросмотр пакетного анализа:
{count} separate analyses will be conducted (one per grouping variable)	Будет проведено {count} отдельных анализа (по одному на каждую группирующую переменную)
P-values will be adjusted globally across all tests	P-значения будут скорректированы глобально по всем тестам
{count} groups detected:	Обнаружено групп: {count}
...and {count} more groups	...и ещё {count} групп
{count} pairwise comparisons possible	Возможно {count} попарных сравнений
Warnings:	Предупреждения:
...and {count} more warnings	...и ещё {count} предупреждений
Mean and error bar: {name}	Среднее и полосы ошибок: {name}
Paired lines: {name}	Парные линии: {name}
Interaction plot: {name}	График взаимодействия: {name}
Distribution comparison	Сравнение распределений

# === correlation-view ===
Variable selection (optional)	Выбор переменных (необязательно)
Leave empty to correlate all variables	Оставьте пустым для корреляции всех переменных
Left variables (rows)	Левые переменные (строки)
Right variables (columns)	Правые переменные (столбцы)
Calculate correlations	Рассчитать корреляции
Correlation options	Параметры корреляции
Correlation method	Метод корреляции
Pearson's r	r Пирсона
Spearman's ρ	ρ Спирмена
Kendall's τ	τ Кендалла
Polychoric correlation	Полихорическая корреляция
Polyserial correlation	Полисериальная корреляция
Somers' D	D Сомерса
Goodman & Kruskal's γ	γ Гудмана и Краскала
Point-biserial	Точечно-бисериальный
Biserial	Бисериальный
Mixed/Auto (automatically selects best method)	Смешанный/Авто (автоматический выбор наилучшего метода)
Table format	Формат таблицы
Matrix	Матрица
Visualization	Визуализация
Edge bundling	Граф со связыванием рёбер
Force-directed graph	Силовой граф
Correlogram	Коррелограмма
Scatterplots	Диаграммы рассеяния
P-value display	Отображение p-значений
Separate p-value table	Отдельная таблица
Combined with correlation	В матрице корреляций
Hide redundant values	Скрыть избыточные значения
Calculating {var1} - {var2}	Расчёт {var1} - {var2}
No significant correlations with current settings	Нет значимых корреляций при текущих настройках
Insufficient data for scatterplot	Недостаточно данных для диаграммы рассеяния
No p-value adjustment method selected. The more tests you run on the same data, the more likely you are to encounter a false discovery.	Метод коррекции p-значений не выбран. Чем больше тестов вы проводите на одних и тех же данных, тем выше вероятность ложного срабатывания.
No appropriate variables for this correlation method.	Нет подходящих переменных для этого метода корреляции.
Calculating correlations	Вычисление корреляций
An error occurred while running the correlation analysis:	Произошла ошибка при выполнении корреляционного анализа:
Insufficient valid data after conversion	Недостаточно допустимых данных после преобразования
Incompatible variable types for correlation	Несовместимые типы переменных для корреляции
Unknown correlation method	Неизвестный метод корреляции
Correlation network	Корреляционная сеть
Significant very strong positive correlation	Значимая очень сильная положительная корреляция
Significant very strong negative correlation	Значимая очень сильная отрицательная корреляция
Significant very strong correlation	Значимая очень сильная корреляция
Significant strong positive correlation	Значимая сильная положительная корреляция
Significant strong negative correlation	Значимая сильная отрицательная корреляция
Significant strong correlation	Значимая сильная корреляция
Significant moderate positive correlation	Значимая умеренная положительная корреляция
Significant moderate negative correlation	Значимая умеренная отрицательная корреляция
Significant moderate correlation	Значимая умеренная корреляция
Significant weak positive correlation	Значимая слабая положительная корреляция
Significant weak negative correlation	Значимая слабая отрицательная корреляция
Significant weak correlation	Значимая слабая корреляция
Significant very weak positive correlation	Значимая очень слабая положительная корреляция
Significant very weak negative correlation	Значимая очень слабая отрицательная корреляция
Significant very weak correlation	Значимая очень слабая корреляция
Significant negligible positive correlation	Значимая пренебрежимо малая положительная корреляция
Significant negligible negative correlation	Значимая пренебрежимо малая отрицательная корреляция
Significant negligible correlation	Значимая пренебрежимо малая корреляция
Insignificant very strong positive correlation	Незначимая очень сильная положительная корреляция
Insignificant very strong negative correlation	Незначимая очень сильная отрицательная корреляция
